timestamp,total_mention_velocity,avg_sentiment_score,positive_vibe_count,negative_vibe_count,actual_server_requests
1788524463.3066978,564,0.7657849490642548,2,3,500
1788524474.2705886,516,0.8205650091171265,0,2,500
1788524485.2785656,51,0.7876694699128469,1,0,500
1788524495.3137994,80,0.7585239052772522,0,2,500
1788524505.3475232,474,0.770387601852417,1,1,500
1788524516.2913778,64,0.6882694602012634,1,1,500
1788524526.3189058,53,0.7522296786308289,1,0,500
1788524537.3545458,263,0.7891393105189005,1,1,500
1788524547.3772342,35,0.787662672996521,1,2,500
1788524557.4154613,50,0.8450628519058228,1,0,500
1788524568.348293,376,0.8158623456954956,1,1,500
1788524579.3595202,70,0.7683284481366476,0,1,500
1788524590.3587527,73,0.8134447693824768,0,0,500
1788524600.3600276,501,0.8809710144996643,1,1,500
1788524610.3741462,64,0.8226961135864258,0,1,500
1788524620.3909504,51,0.7345862746238708,0,0,500
1788524631.363662,322,0.8267497221628824,2,0,500
1788524641.3805861,74,0.6913425326347351,0,0,500
1788524651.3975892,411,0.7581789135932923,1,1,500
1788524662.4144747,41,0.8237855315208436,1,0,500
1788524673.4144154,68,0.6909335454305013,1,1,500
1788524684.4013402,433,0.6874357342720032,1,0,500
1788524694.426581,55,0.860664165019989,1,0,500
1788524705.4103289,71,0.853084146976471,0,0,500
1788524715.470831,457,0.8053589224815368,1,0,500
1788524726.4138224,54,0.8215124249458313,0,1,500
1788524736.418979,48,0.7486388206481933,0,1,500
1788524746.4233327,474,0.8395893216133118,1,1,500
1788524757.4299753,65,0.7647975782553355,0,0,500
1788524767.4436986,63,0.7190929055213928,0,0,500
1788524777.5201468,421,0.8629409432411194,1,0,500
1788524788.4637218,55,0.7672369241714477,0,1,500
1788524799.463431,43,0.7511599759260813,1,2,500
1788524809.463434,208,0.7673316955566406,1,2,500
1788524819.5672655,57,0.7972097158432007,0,2,500
1788524830.4716234,43,0.7479720711708069,0,1,500
1788524841.4739208,210,0.8025991022586823,0,1,500
1788524851.542494,57,0.7361446619033813,0,3,500
1788524862.4671621,317,0.7680021107196808,0,0,500
1788524872.4812684,51,0.8300338864326477,1,0,500
1788524883.489625,78,0.7916557987531027,1,0,500
1788524893.4930367,481,0.7784155249595642,1,0,500
1788524903.553156,49,0.8284526228904724,0,0,500
1788524914.5348942,32,0.8283262014389038,0,0,500
1788524924.5866532,483,0.8091310739517212,1,0,500
1788524935.5851264,54,0.7418808539708456,0,2,500
1788524946.501962,88,0.7749173402786255,0,1,500
1788524956.5207083,289,0.7152580320835114,1,1,500
1788524966.569698,47,0.7732189893722534,1,1,500
1788524977.5871212,65,0.8222234944502512,0,1,500
1788524988.5764413,269,0.8406724572181702,1,0,500
1788524998.600929,40,0.7917595624923706,0,1,500
1788525009.6202714,51,0.87220299243927,0,1,500
1788525020.583467,478,0.8423625469207764,1,1,500
1788525031.6002817,61,0.7561162610848745,0,4,500
1788525041.6139622,300,0.8484641909599304,1,0,500
1788525051.6499612,46,0.6732765078544617,0,2,500
1788525062.574954,44,0.8221902489662171,1,0,500
1788525072.595907,269,0.7284281253814697,1,2,500
1788525083.6166975,61,0.8646093010902405,0,0,500
1788525093.6372786,56,0.7677057266235352,1,1,500
1788525104.607513,526,0.8597940564155578,1,0,500
1788525115.6304266,66,0.7543334464232127,1,1,500
1788525125.641181,47,0.8233332157135009,0,0,500
1788525135.6600502,264,0.8564434289932251,1,0,500
1788525145.6650205,53,0.7347158074378968,0,1,500
1788525155.6683705,71,0.7752910137176514,0,1,500
1788525166.6240346,259,0.8917588353157043,1,0,500
1788525176.6777105,34,0.7577609539031982,0,1,500
1788525187.6921237,43,0.7918295462926229,1,1,500
1788525198.6458995,534,0.7753066539764404,1,1,500
1788525208.6537876,36,0.8462812304496765,0,1,500
1788525218.66818,43,0.8034905195236206,0,1,500
1788525229.696101,487,0.8032149771849314,1,0,500
1788525239.7064383,52,0.846120011806488,0,1,500
1788525250.7031968,65,0.8546972751617432,0,0,500
1788525261.7276585,476,0.8230892022450765,0,2,500
1788525271.766588,60,0.7597729206085205,0,3,500
1788525282.6890814,491,0.7644612491130829,0,0,500
1788525293.7134957,61,0.8003762662410736,1,0,500
1788525303.7292655,64,0.7883721351623535,0,2,500
1788525313.7512677,528,0.9122463345527649,1,0,500
1788525323.7580028,47,0.7914327144622803,0,1,500
1788525333.7677655,68,0.7853460907936096,0,1,500
1788525344.7173417,305,0.802695369720459,1,1,500
1788525354.7390032,78,0.711228358745575,0,2,500
1788525364.7787747,39,0.7323796510696411,0,2,500
1788525375.7932448,213,0.8674147029717764,1,0,500
1788525386.7455018,30,0.7947048664093017,1,0,500
1788525396.7533567,49,0.7249374389648438,1,1,500
1788525406.7573855,364,0.8300279974937439,1,0,500
1788525417.7770517,50,0.7636924485365549,0,1,500
1788525427.7990193,56,0.843880569934845,0,0,500
1788525438.816178,536,0.835512113571167,1,0,500
1788525449.8119674,71,0.6681248545646667,1,2,500
1788525460.8247824,71,0.8066300749778748,0,0,500
1788525471.8152535,439,0.7667394280433655,1,1,500
1788525481.8323252,86,0.8804548025131226,0,0,500
1788525492.8047342,355,0.7829598426818848,1,0,500
1788525502.8390858,33,0.6895946264266968,0,1,500
1788525513.8344479,78,0.7634846965471903,0,0,500
1788525523.8679783,344,0.8185773372650147,1,1,500
1788525533.8823657,27,0.8705444812774659,0,1,500
1788525544.8321562,56,0.6818882346153259,0,1,500
1788525554.8383062,436,0.8138370275497436,2,0,500
1788525565.8707867,59,0.7284994721412659,0,2,500
1788525575.9031527,42,0.8314533948898315,0,1,500
1788525585.9181826,286,0.8238310813903809,1,0,500
1788525595.955005,70,0.7943266153335571,1,0,500
1788525606.8503118,30,0.7647675633430481,0,1,500
1788525616.9066014,377,0.8160390257835388,2,0,500
1788525627.9353096,66,0.7513931393623352,1,2,500
1788525638.9154005,42,0.7737194538116455,0,1,500
1788525649.9553945,493,0.7652229617039362,2,0,500
1788525660.8856673,42,0.7967263460159302,0,0,500
1788525671.925019,272,0.7552567621072134,1,3,500
1788525682.8918815,44,0.7197918891906738,1,2,500
1788525692.892622,43,0.7728668570518493,1,0,500
1788525702.9474761,548,0.8184947490692138,1,1,500
1788525713.9440334,79,0.7713220516840616,0,1,500
1788525723.9583788,36,0.7400044441223145,0,2,500
1788525734.0068765,253,0.8353567838668823,1,1,500
1788525744.0097563,45,0.827486538887024,0,0,500
1788525754.9729917,44,0.7743239879608155,0,1,500
1788525765.971423,375,0.7997905015945435,1,1,500
1788525776.0264475,44,0.7393997788429261,0,1,500
1788525786.9422004,50,0.787906038761139,0,0,500
1788525796.9943542,410,0.7963510513305664,0,2,500
1788525807.9965668,66,0.744057814280192,0,2,500
1788525818.0165503,68,0.8778984546661377,0,0,500
1788525828.0279388,254,0.7322437942028046,0,2,500
1788525838.044291,52,0.7761800050735473,0,0,500
1788525848.9820445,80,0.7253492474555969,1,1,500
1788525859.0186563,505,0.776688301563263,0,2,500
1788525870.020673,46,0.7477263907591502,0,0,500
1788525880.0228155,61,0.7525767803192138,0,2,500
1788525890.0512137,230,0.7841677784919738,0,1,500
1788525900.0608733,66,0.800452721118927,0,0,500
1788525910.0833733,38,0.8227077722549438,1,0,500
1788525921.0249188,479,0.8112218856811524,1,0,500
1788525931.0311766,70,0.8826193451881409,0,0,500
1788525942.0705001,231,0.6438241998354594,0,3,500
1788525952.125616,73,0.7481867551803589,0,0,500
1788525963.034068,37,0.8155663967132568,0,1,500
1788525973.0453324,247,0.7734779596328736,1,2,500
1788525983.0568035,62,0.8030194759368896,0,0,500
1788525993.071879,32,0.7124180674552918,0,0,500
1788526003.110012,454,0.7600354790687561,1,0,500
1788526014.1335475,90,0.7632790505886078,0,3,500
1788526024.134439,34,0.6650481939315795,0,0,500
1788526034.1674352,436,0.8195676207542419,1,0,500
1788526045.08087,65,0.7692387104034424,0,1,500
1788526055.1039565,43,0.789359188079834,0,1,500
1788526066.1287854,418,0.8406964441140493,1,1,500
1788526076.1764023,44,0.8657284021377564,0,0,500
1788526086.1973202,49,0.8186007738113403,0,0,500
1788526097.1488407,442,0.7352631092071533,1,0,500
1788526108.166085,65,0.7928716540336609,0,0,500
1788526118.209579,51,0.8219687819480896,0,0,500
1788526129.1210577,443,0.7640053272247315,1,1,500
1788526139.1345012,60,0.8336708188056946,0,0,500
1788526149.140511,49,0.7884772539138794,0,1,500
1788526159.1483984,288,0.8474410533905029,1,0,500
1788526170.1665118,80,0.7750563323497772,1,0,500
1788526180.2121515,46,0.820150899887085,0,0,500
1788526191.1801329,481,0.7627934813499451,1,1,500
1788526202.1941774,68,0.7948428889115652,0,0,500
1788526212.2498188,404,0.754213935136795,2,1,500
1788526223.1874304,64,0.8541306495666504,0,0,500
1788526233.2324622,62,0.8580641150474548,0,1,500
1788526243.240538,354,0.7645962357521057,2,0,500
1788526254.2285466,67,0.7364032169183096,1,1,500
1788526264.2460184,63,0.8428073287010193,0,1,500
1788526275.2008908,510,0.7541239500045777,0,1,500
1788526285.2113292,42,0.7544839143753052,0,0,500
1788526296.2417016,36,0.7842958569526672,0,1,500
1788526306.2705305,251,0.8467029094696045,1,0,500
1788526317.2329931,57,0.7022549510002136,1,0,500
1788526327.2768025,58,0.7370650887489318,1,2,500
1788526338.2757173,333,0.7302009363969167,2,1,500
1788526349.2454894,67,0.7621017694473267,0,0,500
1788526359.2533865,33,0.8169808626174927,0,1,500
1788526369.255754,485,0.8475605845451355,1,0,500
1788526380.295702,53,0.7332238356272379,0,2,500
1788526390.3023841,64,0.7342947602272034,0,0,500
1788526400.3261619,211,0.7927406191825866,3,0,500
1788526410.347355,53,0.8231766223907471,0,1,500
1788526421.3114166,42,0.7910267353057862,0,1,500
1788526432.3303752,367,0.8328420420487722,1,0,500
1788526442.3536973,50,0.7767284512519836,0,2,500
1788526453.3046324,533,0.782920527458191,1,1,500
1788526464.343305,61,0.7453059057394663,2,1,500
1788526474.3511174,62,0.7301524639129638,0,3,500
1788526485.3318877,264,0.8270700573921204,1,0,500
1788526496.3628113,80,0.7787105937798818,0,0,500
1788526506.3703804,40,0.7062727332115173,0,2,500
1788526517.336203,273,0.748461377620697,0,2,500
1788526527.3460636,37,0.6509046673774719,0,3,500
1788526537.3547738,68,0.7436507225036622,1,1,500
1788526548.3822343,341,0.7773683766523997,1,0,500
1788526558.4064622,40,0.8320557951927186,0,0,500
1788526568.4100933,59,0.8167615175247193,1,0,500
1788526578.4560497,437,0.8709881424903869,1,0,500
1788526589.3790095,45,0.8697846293449402,0,0,500
1788526600.4035625,57,0.7719622800747553,0,1,500
1788526610.422757,488,0.8661824107170105,2,0,500
1788526621.3886504,62,0.7060587346553803,0,2,500
